Date,Open,High,Low,Close,Adj Close,Volume
10/02/2021,60039.62891,61033.05078,56800.42188,58155.16797,58155.16797,1.13028E+11
11/02/2021,58129.95703,62501.25,57271.40625,61803.23047,61803.23047,1.04992E+11
12/02/2021,61761.56641,62873.36719,60053.77344,61225.48828,61225.48828,98666127524
13/02/2021,61207.89844,61925.18359,59791.57813,60735.5,60735.5,90577425644
14/02/2021,60747.09375,63805.65234,60747.09375,62755.76172,62755.76172,91779835979
15/02/2021,62729.02734,62945.52734,59651.56641,61578.57031,61578.57031,98985269621
16/02/2021,61577.80078,64618.64453,60556.01563,63602.29688,63602.29688,99604538432
17/02/2021,63611.87109,67777.83594,63451.02344,67221.27344,67221.27344,1.0418E+11
18/02/2021,67210.91406,67603.44531,65647.14063,66529.10938,66529.10938,67011763469
19/02/2021,66524.19531,71300.25,65628.14844,71014.14844,71014.14844,80680426168
20/02/2021,71013.13281,73068.90625,69411.13281,71291.82813,71291.82813,86599932056
21/02/2021,71252.5,74127.07813,70749.3125,72996.03906,72996.03906,65838055037
22/02/2021,72986.89844,72986.97656,62085.58594,68493.54688,68493.54688,1.16313E+11
23/02/2021,68490.53125,68490.53125,57304.73438,61746.44531,61746.44531,1.34184E+11
24/02/2021,61759.92969,64786.46875,59673.04688,62318.70703,62318.70703,79859087982
25/02/2021,62323.41016,65088.00391,59893.44531,59893.44531,59893.44531,69320851002
26/02/2021,60003.59375,62672.67188,56807.73047,60137.46875,60137.46875,4.55469E+11
27/02/2021,60143.97266,62620.73047,58747.92188,59941.10938,59941.10938,59580976578
28/02/2021,59948.33203,60626.29688,56116.85156,58220.90625,58220.90625,68934544785
1/03/2021,58248.94141,64067.99609,58205.10156,63843.14844,63843.14844,69323073899
2/03/2021,63818.53516,64497.5625,60318.60156,61832.26563,61832.26563,60748337289
3/03/2021,61879.33203,67271.1875,61698.20313,65185.39063,65185.39063,68645427363
4/03/2021,65164.83203,66441.41406,61690.37109,62950.03516,62950.03516,67853498937
5/03/2021,62905.78516,64265.99219,60499.21875,63653.05469,63653.05469,63260971951
6/03/2021,63616.53125,63939.15625,61480.71875,63633.64063,63633.64063,44706035444
7/03/2021,63641.83203,66660.63281,63641.83203,66430.13281,66430.13281,55961967226
8/03/2021,66387.875,68321.91406,64502.82422,68245.1875,68245.1875,63478689478
9/03/2021,68279.73438,71057.92188,68028.78125,71057.92188,71057.92188,65987694299
10/03/2021,71057.78125,74029.19531,69407.28125,72451.875,72451.875,74116757063
11/03/2021,72393.1875,74586.3125,70113.60938,74249.8125,74249.8125,72923223762
12/03/2021,74270.48438,74449.625,71451.27344,73888.21875,73888.21875,71771864174
13/03/2021,73902.75781,79496.67969,72452.375,78928.61719,78928.61719,78189820589
14/03/2021,78900.32813,79385.92188,76399.41406,76399.41406,76399.41406,56558124499
15/03/2021,76354.46875,78138.6875,71608.40625,72170.9375,72170.9375,85741163107
16/03/2021,72085.20313,73392.60938,69127.64844,73334.5625,73334.5625,77136392493
17/03/2021,73361.57813,75574.24219,70668.99219,75333.66406,75333.66406,77109068409
18/03/2021,75362.05469,77138.89063,69797.55469,74630.94531,74630.94531,71905591873
19/03/2021,74620.00781,76809.25,73050.94531,75402.78125,75402.78125,63406421626
20/03/2021,75384.17969,77579.875,75230.4375,75360.11719,75360.11719,65083673939
21/03/2021,75355.29688,75947.16406,72377.40625,74487.42188,74487.42188,67261839148
22/03/2021,74480.26563,75623.67969,70139.75781,70409.17969,70409.17969,72981689613
23/03/2021,70386.60156,73142.46094,69612,71960.47656,71960.47656,74190159657
24/03/2021,71923.0625,75260.57813,69241.77344,69522.17969,69522.17969,92961732255
25/03/2021,69459.57813,70314.08594,67017.96875,68088.69531,68088.69531,89548273532
26/03/2021,68060.83594,72244.92969,67924.99219,72244.92969,72244.92969,74229845401
27/03/2021,72245.26563,74119.80469,71073.02344,73340.57813,73340.57813,61932074092
28/03/2021,73342.45313,74174.96094,72118.375,73267.44531,73267.44531,62445530026
29/03/2021,73263.71875,76231.41406,72368.45313,75609.625,75609.625,75446472692
30/03/2021,75609.53125,78116.625,74779.96875,77437.17188,77437.17188,71517996822
31/03/2021,77453.71094,78745.47656,75851.41406,77585.78906,77585.78906,86279461994
1/04/2021,77595.97656,78765.57813,77334.21094,77584.10938,77584.10938,80962546692
2/04/2021,77588.14063,78985.39063,77145.01563,78024.33594,78024.33594,77161831334
3/04/2021,78041.53906,78978.16406,75685.0625,75685.0625,75685.0625,78362046821
4/04/2021,75686.30469,77406.0625,75113.23438,77120.13281,77120.13281,66608526650
5/04/2021,77123.17969,78223.42188,75874.28906,77129.59375,77129.59375,79282391382
6/04/2021,77278.54688,77662.42969,75409.86719,75939.39844,75939.39844,86203876899
7/04/2021,75931.76563,76640.5,73116.50781,73617.36719,73617.36719,99356172701
8/04/2021,73684.32031,76190.15625,73402.09375,76168.28125,76168.28125,69285788883
9/04/2021,76171.69531,77150.77344,75931.60938,76397.99219,76397.99219,61196050772
10/04/2021,76409.5,80374.51563,76127.39844,78444.11719,78444.11719,76404388967
11/04/2021,78513.64844,79752.53125,77783.64844,78991.625,78991.625,60721773997
12/04/2021,78953.54688,80401.96094,78090.92188,78527.74219,78527.74219,67953837406
13/04/2021,78523.24219,83501.17969,78527.05469,83054.46094,83054.46094,91529470407
14/04/2021,83081,84352.51563,79646.30469,81690.14063,81690.14063,1.00255E+11
15/04/2021,81645.47656,82329.96094,80349.46875,81693.6875,81693.6875,78649072825
16/04/2021,81622.07031,82120.88281,77665.99219,79561.71094,79561.71094,1.0892E+11
17/04/2021,79506.32031,80853.07813,78046.74219,78463.69531,78463.69531,85516886533
18/04/2021,78487.05469,78946.80469,68290.52344,72880.79688,72880.79688,1.26362E+11
19/04/2021,72848.90625,74038.89063,70098.73438,71765.16406,71765.16406,84155168733
20/04/2021,71710.46094,73876.42969,68425.36719,73129.97656,73129.97656,87861753453
21/04/2021,73127.51563,73455.48438,69250.99219,69517.67188,69517.67188,70833743922
22/04/2021,69454.5,71672.46875,65657.13281,67189.60156,67189.60156,97091764292
23/04/2021,67160.44531,67583.67188,61700.25781,65957.91406,65957.91406,1.11882E+11
24/04/2021,66021.91406,66053.33594,62998.93359,64606.76172,64606.76172,63268988182
25/04/2021,64609.29688,65247.91797,60840.21875,63291.6875,63291.6875,59562789482
26/04/2021,63386.66797,69560.625,63064.75781,69291.60156,69291.60156,74758664805
